FAFB,BANC,MCNS
720575940645659684,720575941531643011,88045
720575940620596741,720575941504380069,63000
720575940639104575,720575941533057923,58559
720575940624736509,720575941653042905,67914
720575940630579500,720575941522413643,70411
720575940619253918,720575941525043812,81086
720575940612946325,720575941411007855,67291
720575940625563781,720575941473656635,50870
720575940616289951,720575941524985346,57227
720575940627175064,720575941529973451,64497
720575940635050347,720575941469815819,62198
720575940611577298,720575941613771795,554352
720575940615001263,720575941494488702,553913
720575940619419441,720575941548782113,80343
720575940624149431,720575941589410558,81259
720575940615223702,720575941603639286,73655
720575940614710439,720575941502243819,62324
720575940623627716,720575941440993215,75286
720575940645206295,720575941584648070,78183
720575940636835470,720575941479264079,70133
720575940631757881,720575941477228138,74343
720575940631497803,720575941534766258,80884
720575940625210382,720575941521886967,78484
720575940606657470,720575941500680331,78014
720575940626584066,720575941549366561,78386
720575940637631845,720575941515329427,73009
720575940623241983,720575941493541296,81188
720575940622456609,720575941654200025,83825
720575940631156055,720575941584636294,73021
720575940623587722,720575941588850231,85063
720575940625164296,720575941450211194,71228
720575940613387542,720575941610741933,81626
720575940619156603,720575941578475601,75227
720575940629125635,720575941539140557,72983
720575940629666064,720575941584644998,77257
720575940616046790,720575941568591860,69872
720575940620778305,720575941440217179,68485
720575940625784295,720575941490145228,74189
720575940659863169,720575941573000955,78863
720575940616096710,720575941478852003,79566
720575940605876937,720575941489846734,79197
720575940620725185,720575941558934387,84570
720575940624209159,720575941436571436,100140
720575940630026434,720575941438494549,85629
720575940641079541,720575941532150659,137783
720575940627034142,720575941641825637,79006
720575940629215131,720575941650227989,81856
720575940614815894,720575941473722171,83403
720575940626664680,720575941610420070,83535
720575940627015299,720575941609770985,74447
720575940627020675,720575941548077172,64354
720575940627058746,720575941624575114,74319
720575940623914749,720575941599013161,74950
720575940638334527,720575941588809540,79173
720575940606628041,720575941538694349,72131
720575940617949908,720575941558283791,90911
720575940622962923,720575941406774063,83853
720575940640905424,720575941644022984,62992
720575940625967408,720575941504329266,83086
720575940639800435,720575941594473585,85072
720575940631476043,720575941479146882,81310
720575940629856194,720575941701311962,132579
720575940618491805,720575941493292670,89409
720575940634246611,720575941465792534,81015
720575940628182661,720575941661562492,100855
720575940635277468,720575941542953477,85126
720575940628866860,720575941480242627,109236
720575940622190588,720575941436407340,105706
720575940631724611,720575941506698334,88698
720575940640761728,720575941431299598,111184
720575940616141378,720575941687043702,80670
720575940627217832,720575941667202291,101441
720575940628243368,720575941544409788,95335
720575940612853913,720575941615306709,95074
720575940616889906,720575941410991471,90655
720575940630992384,720575941465248086,124760
720575940611480440,720575941618233215,82425
720575940631355919,720575941580037753,103657
720575940627616277,720575941602050294,104301
720575940626528442,720575941538993789,102425
720575940654876577,720575941578311761,81401
720575940613147047,720575941570618014,123300
720575940616617885,720575941472039008,98099
720575940653051382,720575941631760315,85778
720575940621427297,720575941689346779,107159
720575940624490677,720575941351399728,101685
720575940632532792,720575941537284850,108461
720575940624189955,720575941564363574,141137
720575940616675033,720575941572148040,84267
720575940632015427,720575941629274338,94356
720575940630822522,720575941563848599,97677
720575940618906270,720575941688744411,104905
720575940630963451,720575941506640001,92281
720575940622205217,720575941521218807,94567
720575940618321382,720575941425780308,94282
720575940614261555,720575941575282536,98245
720575940637147504,720575941534861082,130532
720575940625821982,720575941548623421,153354
720575940621381723,720575941413109140,133780
720575940620489972,720575941429856687,79704
720575940605130668,720575941547674401,100310
720575940638958707,720575941502322923,101302
720575940637095598,720575941593961585,132532
720575940621517523,720575941540919837,114791
720575940621582145,720575941624348042,125477
720575940625270932,720575941641941093,94287
720575940638774618,720575941552287259,92644
720575940634610844,720575941473166890,94482
720575940626011952,720575941437698623,102765
720575940622719564,720575941497873314,106203
720575940635198815,720575941469623307,101005
720575940614275624,720575941558261263,108847
720575940622821658,720575941669680551,96989
720575940626511047,720575941494262215,134352
720575940629181712,720575941481138630,120533
720575940632309560,720575941534788122,115298
720575940633225427,720575941593947249,117265
720575940631547211,720575941505380933,123034
720575940623076054,720575941593928485,129305
720575940626340144,720575941534175681,117477
720575940628823811,720575941508838672,117594
720575940633487059,720575941525335810,108623
720575940631189622,720575941618165887,112379
720575940618185787,720575941512057676,97686
720575940634959200,720575941467064285,98604
720575940619636529,720575941584342662,127638
720575940613262870,720575941437929439,94978
720575940623560959,720575941642473554,123927
720575940633168083,720575941577845493,109858
720575940638180186,720575941631831995,123023
720575940623966471,720575941522851915,128520
720575940633322956,720575941556127140,98425
720575940617840897,720575941429343881,119223
720575940633376173,720575941502194007,135916
720575940646374254,720575941534128065,76661
720575940629132785,720575941491591856,53052
720575940660021121,720575941537108629,58184
720575940617697620,720575941610357933,47604
720575940630474770,720575941529681099,44488
720575940631225083,720575941533145475,42035
720575940626498853,720575941555693476,41286
720575940629003573,720575941537738389,41973
720575940638865222,720575941622864892,52915
720575940624517640,720575941642429522,43269
720575940633632025,720575941503149506,71373
720575940622741375,720575941544675260,57271
720575940619647134,720575941585048966,54239
720575940629983287,720575941414101137,44012
720575940620476073,720575941489862094,53578
720575940629169717,720575941624918410,52874
720575940631433064,720575941408207278,73889
720575940627390481,720575941632456645,47577
720575940627024217,720575941522491723,42931
720575940639509565,720575941535335146,38714
720575940622392700,720575941702848730,80115
720575940635175322,720575941574123677,48627
720575940623954579,720575941473210922,44437
720575940618669726,720575941480135648,104885
720575940622880989,720575941468586973,530885
720575940631582283,720575941439757915,74853
720575940628300563,720575941519309239,74527
720575940635335860,720575941460510404,82282
720575940644452040,720575941535389450,78151
720575940628896199,720575941553733915,92886
720575940608995081,720575941510172944,74228
720575940613191190,720575941536006115,63972
720575940617356505,720575941519351219,76074
720575940624625131,720575941434197792,70093
720575940635956415,720575941351347760,79096
720575940624246250,720575941449075278,77299
720575940629823735,720575941505137431,84128
720575940634661015,720575941553750867,61037
720575940616074764,720575941552157211,95176
720575940622698454,720575941514561114,66716
720575940618212379,720575941591864171,108741
720575940638545641,720575941489705676,65362
720575940619210875,720575941702986458,78291
720575940636197483,720575941630145260,72852
720575940639910771,720575941519132632,133138
720575940625209870,720575941506806853,82123
720575940623892104,720575941577745141,57287
720575940613448677,720575941461964045,67801
720575940631052591,720575941626896778,72381
720575940627944202,720575941502834738,76099
720575940616146956,720575941469724427,106948
720575940627921418,720575941552434842,62283
720575940626051940,720575941484578370,81012
720575940619962827,720575941503493938,42006
720575940624214313,720575941571656520,22264
720575940624083895,720575941525409613,47432
720575940605271468,720575941477408833,49942
720575940630902267,720575941564304950,57283
720575940621072993,720575941573141512,69540
720575940624851692,720575941533790442,53396
720575940627042341,720575941489686476,70327
720575940608950620,720575941450943047,69333
720575940623367382,720575941490015948,59876
720575940614616332,720575941490448359,52145
720575940606627104,720575941493733246,61976
720575940629257065,720575941479761743,58762
720575940629786447,720575941545152617,60016
720575940619066964,720575941523892811,55325
720575940623750122,720575941644815048,53480
720575940622372476,720575941633624261,55871
720575940633729069,720575941546274184,49835
720575940630462167,720575941510969298,49462
720575940628587463,720575941653087705,74615
720575940605725920,720575941624536458,77293
720575940616548795,720575941504072791,54117
720575940615371487,720575941500692107,58956
720575940620839105,720575941542852637,53832
720575940610555716,720575941541161052,57610
720575940619594320,720575941557070884,62679
720575940606408625,720575941550278911,50205
720575940631451766,720575941563430407,93931
720575940612976863,720575941526403172,33979
720575940638963517,720575941461697476,35432
720575940633194431,720575941624580972,25648
720575940639866685,720575941642900897,33018
720575940619697323,720575941515756634,34977
720575940621364907,720575941502303319,63945
720575940628271626,720575941467811293,81824
720575940615471884,720575941556820772,34142
720575940617633088,720575941538268392,36858
720575940620575960,720575941480585155,34419
720575940623893223,720575941526327206,39212
720575940615506399,720575941465488406,35882
720575940622912041,720575941514086243,46798
720575940640150973,720575941584492510,36799
720575940620996289,720575941454847725,38177
720575940612933269,720575941545092969,84321
720575940618482772,720575941589562110,88586
720575940618281428,720575941460759763,94126
720575940639403086,720575941643476129,104818
720575940620934023,720575941637294709,113677
720575940624652808,720575941594708775,89328
720575940615670239,720575941563655063,107338
720575940631241679,720575941544677481,53563
720575940622355489,720575941641925733,52378
720575940630707650,720575941625522284,93940
720575940625548696,720575941624559562,80132
720575940629233516,720575941446539540,41127
720575940617373755,720575941558215183,62924
720575940607755465,720575941473143594,43461
720575940639961397,720575941624258459,58361
720575940629637695,720575941574444296,64560
720575940615744322,720575941515027555,65245
720575940609748235,720575941547591457,51784
720575940636472183,720575941541240668,42749
720575940625178808,720575941572338939,83476
720575940622587980,720575941652284657,77346
720575940613789933,720575941690298075,76487
720575940614102495,720575941534604632,67998
720575940629317136,720575941688193910,57073
720575940620435621,720575941527601830,88561
720575940633846498,720575941689494747,65325
720575940623904906,720575941569799412,81314
720575940619710805,720575941594939173,71383
720575940629274384,720575941575741622,78962
720575940610240354,720575941625936778,73846
720575940644080032,720575941493859198,73376
720575940627087000,720575941671280039,71580
720575940631427321,720575941556925220,85767
720575940621238593,720575941485138829,628226512
720575940633824666,720575941610575277,79082
720575940629662458,720575941441779919,75497
720575940618399109,720575941532199141,80310
720575940614210275,720575941565897270,76925
720575940636186469,720575941644828833,74653
720575940634116377,720575941486856912,75739
720575940619188603,720575941579918837,76014
720575940624433225,720575941480826563,70938
720575940607406978,720575941448493237,76192
720575940622360956,720575941468551645,64741
720575940628449866,720575941614172435,74604
720575940610990802,720575941480204674,70601
720575940627397662,720575941544480700,87203
720575940631974504,720575941610191021,101115
720575940622592809,720575941565017447,78940
720575940624460019,720575941496553339,113934
720575940615882655,720575941536003555,82833
720575940612493530,720575941497118793,81582
720575940626121418,720575941453190963,114749
720575940631764108,720575941624699291,87675
720575940645193763,720575941451369385,93927
720575940632125521,720575941497942434,95883
720575940626272002,720575941493343102,86807
720575940621725428,720575941512167377,112818
720575940614137255,720575941497262153,123721
720575940618364561,720575941450925895,129554
720575940632959396,720575941596581020,80777
720575940620991110,720575941533784754,85708
720575940628227465,720575941519371187,89020
720575940604324576,720575941508618512,120686
720575940616122043,720575941454736109,118463
720575940637262046,720575941543362153,84483
720575940627005573,720575941484535874,76788
720575940625700964,720575941618231167,79259
720575940621693616,720575941538747773,95499
720575940619597734,720575941631208389,120603
720575940620666459,720575941650851313,112180
720575940612380529,720575941513742947,88825
720575940632304780,720575941501891211,83004
720575940632845139,720575941460509124,85092
720575940635047319,720575941598731305,118097
720575940630725340,720575941540774748,79796
720575940636327543,720575941689089944,105042
720575940618996347,720575941686958710,117644
720575940627871079,720575941489642444,83788
720575940619906251,720575941439883215,116129
720575940607118722,720575941544568508,97455
720575940641996173,720575941553732691,88922
720575940612248306,720575941530825445,84631
720575940612901529,720575941665083123,108199
720575940630549575,720575941602133494,128647
720575940636812430,720575941552580762,89560
720575940634056555,720575941508695568,111480
720575940621340070,720575941650880497,94796
720575940627588178,720575941588975614,88722
720575940617574585,720575941689078491,93667
720575940619682462,720575941513996122,114832
720575940640668989,720575941494390983,120295
720575940618693154,720575941701446106,94948
720575940647488820,720575941596851648,117415
720575940629169257,720575941489803982,107875
720575940632602439,720575941624421996,96774
720575940619797174,720575941571788872,122170
720575940614094573,720575941454764525,125287
720575940607147721,720575941451324073,114883
720575940639606325,720575941449953658,91469
720575940619192709,720575941632368059,107979
720575940644403656,720575941544580201,96434
720575940634902624,720575941624224411,95235
720575940614543015,720575941605913197,122887
720575940625865360,720575941547727393,90371
720575940609117451,720575941484725901,130465
720575940635207580,720575941502133591,90401
720575940646883875,720575941412724116,82536
720575940625976760,720575941721360186,99869
720575940622442387,720575941686606604,118638
720575940622527868,720575941400124707,131005
720575940627427600,720575941519205303,102676
720575940617915677,720575941414630428,96155
720575940630729180,720575941624379500,87960
720575940623875464,720575941429376905,105290
720575940612677811,720575941563539207,109912
720575940623571711,720575941409453739,115445
720575940638906677,720575941686063855,91955
720575940623049752,720575941489058505,76140
720575940623681258,720575941508747024,87943
720575940625524508,720575941611731558,110534
720575940612786581,720575941410978159,82022
720575940621362926,720575941584209030,123750
720575940631637304,720575941436572716,83693
720575940618454848,720575941525052418,130086
720575940623253640,720575941488780341,109475
720575940620062384,720575941506493474,81859
720575940617873698,720575941657205840,122827
720575940631876153,720575941612479251,93115
720575940631992623,720575941558408686,117981
720575940631752515,720575941530691813,96212
720575940630205996,720575941563492962,99435
720575940627863399,720575941429462703,97983
720575940617699513,720575941631448992,96417
720575940652482806,720575941489641932,132672
720575940622362845,720575941513935363,93861
720575940614205615,720575941446294036,102151
720575940635868596,720575941543415657,107037
720575940613674280,720575941488830409,124861
720575940636190309,720575941687037558,123142
720575940612651749,720575941593609767,100127
720575940637960158,720575941409351083,94763
720575940612863283,720575941434338848,109569
720575940620843802,720575941596848320,106430
720575940620904557,720575941558494446,113572
720575940624214089,720575941567982962,99939
720575940628141052,720575941544843964,52881
720575940629091919,720575941414652188,62667
720575940631134506,720575941457100191,56845
720575940613124069,720575941627363385,54119
720575940634141209,720575941477865578,53567
720575940616399590,720575941471556416,50203
720575940640957837,720575941505490492,56337
720575940627875144,720575941553143297,71603
720575940611171754,720575941449685597,51700
720575940643965600,720575941731154219,48204
720575940629116469,720575941448578741,45496
720575940618202397,720575941563804055,58045
720575940623883277,720575941572227998,64547
720575940614440098,720575941502478679,82513
720575940606137190,720575941582522975,110987
720575940627764282,720575941469959287,59880
720575940620763995,720575941569225972,77136
720575940617674470,720575941666373107,92791
720575940612048602,720575941430375561,85239
720575940632684708,720575941518714584,83251
720575940608240562,720575941507053858,59714
720575940620534255,720575941593373221,79694
720575940616711622,720575941644218744,82970
720575940622333878,720575941515684954,116522
720575940619109755,720575941449082702,77772
720575940639577141,720575941503866967,48514
720575940610910328,720575941555631780,53983
720575940635296436,720575941430537609,39692
720575940655125409,720575941431632737,49199
720575940619856464,720575941514288131,47240
720575940638335859,720575941575731343,57874
720575940631040207,720575941690389211,64043
720575940616353247,720575941449338446,57804
720575940604605030,720575941559119475,54855
720575940642618843,720575941434250126,55777
720575940614305745,720575941551320382,49331
720575940627163785,720575941580505721,71842
720575940625028332,720575941455067699,59435
720575940629678864,720575941629456678,77310
720575940639851427,720575941498683209,65004
720575940654075809,720575941624011978,58732
720575940613859821,720575941583057247,60366
720575940620155668,720575941631606213,49430
720575940633749971,720575941576480360,62364
720575940628582031,720575941549613885,63853
720575940633090444,720575941438783573,60458
720575940604601022,720575941486134082,28035
720575940612977066,720575941434734990,50426
720575940613903477,720575941429599625,46036
720575940640732067,720575941466431830,42410
720575940605795808,720575941439177183,53551
720575940616262651,720575941469118583,55357
720575940613707542,720575941453822633,56896
720575940629645927,720575941469797184,67614
720575940632228370,720575941594807847,62161
720575940629651559,720575941643762337,37627
720575940637281710,720575941631557792,53648
720575940621752444,720575941671111847,87037
720575940646427246,720575941553448705,48458
720575940630707906,720575941662141496,61055
720575940623762058,720575941638732063,45822
720575940632581423,720575941407182895,42916
720575940625185294,720575941568284274,59047
720575940614444584,720575941514718969,48463
720575940610697262,720575941502394091,86919
720575940622292905,720575941611749478,100369
720575940617393974,720575941439080255,73932
720575940637507982,720575941438808127,71988
720575940627058718,720575941480464035,61761
720575940618792773,720575941566966830,84445
720575940629365147,720575941414228628,84920
720575940630162810,720575941600220713,85659
720575940620124757,720575941611500051,85310
720575940643835808,720575941581350265,83454
720575940633957710,720575941481710790,85741
720575940638570328,720575941484511298,88398
720575940638625408,720575941624086218,101886
720575940634667871,720575941440107199,89614
720575940622720717,720575941412421265,102770
720575940626083770,720575941574420662,92467
720575940629049862,720575941685864687,118797
720575940630727276,720575941437631455,120505
720575940630791798,720575941449108302,101805
720575940626690960,720575941505142295,91934
720575940631357967,720575941429759480,86558
720575940628873987,720575941559450639,119088
720575940630243739,720575941587870276,121932
720575940604337632,720575941479127971,136212
720575940627987026,720575941519969971,124127
720575940618303557,720575941652463889,89460
720575940617808981,720575941538502605,113346
720575940613008307,720575941605690221,107888
720575940615211231,720575941559475757,114423
720575940631754819,720575941484783245,120659
720575940611110446,720575941498441953,124519
720575940634349304,720575941534621706,105417
720575940610663537,720575941537185778,117779
720575940622244521,720575941484568386,105124
720575940630769399,720575941503357527,85077
720575940612678130,720575941661084984,93977
720575940623878803,720575941412587156,111065
720575940638567396,720575941613994905,134318
720575940630549831,720575941548088180,111364
720575940631653463,720575941612935187,113082
720575940626057998,720575941538626429,113218
720575940622132250,720575941624084682,120800
720575940605535404,720575941631980704,120606
720575940624348167,720575941631811003,97559
720575940615130218,720575941595068197,107883
720575940624488701,720575941497782601,103078
720575940630570812,720575941513759491,106945
720575940616813470,720575941554124115,110341
720575940626642618,720575941552430727,134122
720575940618177693,720575941609829865,95995
720575940612909999,720575941526490534,105995
720575940628102908,720575941685838575,125581
720575940627760394,720575941559476013,118133
720575940630211628,720575941458027590,125014
720575940618365725,720575941574304520,94886
720575940630052396,720575941540526940,117658
720575940624467197,720575941721856058,131334
720575940619943845,720575941555720420,154939
720575940652542198,720575941548128884,141836
720575940629930284,720575941618628223,90010
720575940629248248,720575941585038558,142050
720575940622526204,720575941473707579,85205
720575940622460868,720575941485162306,108004
720575940627715717,720575941517620590,106583
720575940632574433,720575941642974290,112187
720575940617088837,720575941572921416,123374
720575940612268913,720575941475305521,160115
720575940623483606,720575941414685468,151414
720575940614760338,720575941486003920,108232
720575940623510822,720575941470595136,105680
720575940631795001,720575941563588498,51102
720575940633152211,720575941502909931,52330
720575940620775259,720575941458206704,54316
720575940611049826,720575941519730099,58486
720575940630204519,720575941562764712,91257
720575940610180932,720575941639113845,84116
720575940613921763,720575941536996328,65928
720575940636898917,720575941517411288,95028
720575940629329051,720575941439178303,94826
720575940619679915,720575941680029629,76206
720575940616310715,720575941556786340,80672
720575940650867577,720575941643337889,47360
720575940633036333,720575941662035836,51837
720575940627832744,720575941478852226,51767
720575940622807372,720575941449083470,54237
720575940635756407,720575941594750759,57519
720575940620124038,720575941539033293,53855
720575940625705767,720575941519687859,59594
720575940616976140,720575941691144667,57579
720575940622092293,720575941687321100,62361
720575940636131439,720575941563913106,73608
720575940628278524,720575941502187863,39374
720575940611033042,720575941474320170,75051
720575940646831156,720575941458475248,70113
720575940607309954,720575941564615687,111445
720575940628604232,720575941508258689,87423
720575940630475996,720575941434061198,147306
720575940611094626,720575941449975930,117910
720575940629476986,720575941453556275,150907
720575940631204623,720575941552402433,116288
720575940628722167,720575941431805710,83582
720575940616589685,720575941602042809,123583
720575940628585980,720575941574240438,130859
720575940623429610,720575941609822953,96884
720575940634645088,720575941544441861,125988
720575940618763803,720575941573565961,122164
720575940632609956,720575941534709697,112681
720575940631485814,720575941548317812,95370
720575940620364379,720575941407188527,132032
720575940660736641,720575941504964517,83302
720575940623733700,720575941502465111,108742
720575940632520495,720575941656790040,150522
720575940615148511,720575941585521030,52963
720575940615755586,720575941515540739,72794
720575940627948574,720575941481166534,101724
720575940630635386,720575941639874591,90274
720575940629147445,720575941576469096,70013
720575940638023002,720575941507737122,69391
720575940613431970,720575941615798741,47823
720575940615688810,720575941577753937,80812
720575940614891370,720575941572999163,120290
720575940620037323,720575941536109027,79449
720575940613285101,720575941588595255,120538
720575940628585728,720575941505756695,129272
720575940617611481,720575941449993850,117485
720575940614341954,720575941545264572,121287
720575940614976175,720575941535137306,121349
720575940626430922,720575941642800210,108857
720575940629421304,720575941409929643,126555
720575940612413610,720575941640110111,120955
720575940639552371,720575941603628534,65309
720575940615927750,720575941679311037,113813
720575940613124778,720575941439333439,87749
720575940623839978,720575941616126677,60404
720575940626411853,720575941556856612,66689
720575940622106537,720575941412572564,73274
720575940625876742,720575941519443160,570007
720575940618433073,720575941686840694,47555
720575940627675408,720575941429294985,52597
720575940614914107,720575941556355876,21336
720575940612396437,720575941599083456,56059
720575940621440862,720575941448243805,30656
720575940629187825,720575941565126407,42566
720575940604749758,720575941596675228,42752
720575940639238628,720575941624387018,46844
720575940640065139,720575941471291456,53361
720575940630197630,720575941505093314,118347
720575940608870492,720575941552309895,92412
720575940617863764,720575941502223339,184625
720575940614314415,720575941554065491,24193
720575940637745838,720575941414796316,48407
720575940618990808,720575941618026197,16600
720575940629427535,720575941602372793,41699
720575940622020084,720575941518548184,95782
720575940627275018,720575941507024674,100438
720575940610421060,720575941642350418,166362
720575940621659782,720575941414271636,15750
720575940648128388,720575941471813472,25367
720575940637682606,720575941641792869,17345
720575940609411339,720575941587895620,91572
720575940646359662,720575941433682702,130707
720575940629045035,720575941460212676,99126
720575940617843771,720575941595408854,79602
720575940637305207,720575941629576674,70304
720575940636532190,720575941497384929,78427
720575940623189598,720575941475865140,69400
720575940631059456,720575941517542872,71789
720575940636925815,720575941596991132,549795
720575940645971991,720575941491879856,63555
720575940633732781,720575941563842711,108597
720575940605984800,720575941465446486,142794
720575940626925657,720575941513952259,142231
720575940621248621,720575941429717385,140700
720575940615379573,720575941479758304,156612
720575940627045763,720575941545511348,139058
720575940626293604,720575941574995304,123327
720575940623621119,720575941518345900,147278
720575940639802933,720575941481638854,157714
720575940630297591,720575941567694074,150838
720575940628852904,720575941505463575,122128
720575940618164613,720575941651907089,149206
720575940626804738,720575941524474699,136181
720575940635167607,720575941448669006,139533
720575940620345792,720575941612066534,154361
720575940645252387,720575941540769628,142279
720575940628575562,720575941593620773,143113
720575940622209062,720575941571049374,135438
720575940630763898,720575941573702287,147577
720575940626777090,720575941479682016,142998
720575940626940267,720575941441866331,118167
720575940645859694,720575941541900380,123275
720575940606560945,720575941624432236,163866
720575940625984270,720575941490141749,129057
720575940624001220,720575941667029235,140662
720575940635260351,720575941661757496,163104
720575940622418181,720575941545070085,136749
720575940643673504,720575941433703054,142387
720575940608440668,720575941454965229,76518
720575940645022062,720575941444075178,120409
720575940623777930,720575941529568971,144086
720575940627594257,720575941583064415,143159
720575940636535653,720575941562633896,146011
720575940625267720,720575941478808800,18467
720575940627014172,720575941556376292,13487
720575940619674606,720575941668463091,14164
720575940621780577,720575941653167377,21029
720575940620470448,720575941545879996,532139
720575940627296122,720575941411076975,524975
720575940629933354,720575941431312142,20361
720575940624387401,720575941412803183,21570
720575940614447400,720575941436636946,59862
720575940623905779,720575941721547322,46796
720575940617513024,720575941429518255,48297
720575940627846955,720575941505441815,55691
720575940625870211,720575941568354292,58004
